Ticket,Open Time,Type,Volume,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
50348979,2017.03.30 12:37:15,buy,0.1,usdjpy,111.246,0,0,2017.03.30 15:37:18,111.304,-0.7,0,0,5.21
50348996,2017.03.30 13:11:03,buy,0.1,usdjpy,111.18,0,0,2017.03.30 15:31:03,111.34,-0.7,0,0,14.37
50349004,2017.03.30 13:33:50,buy,0.1,usdjpy,111.115,0,0,2017.03.30 15:30:41,111.291,-0.7,0,0,15.81
50349006,2017.03.30 13:41:06,buy,0.1,usdjpy,111.073,0,0,2017.03.30 15:30:32,111.3,-0.7,0,0,20.4
50349101,2017.03.30 15:38:59,sell,0.1,usdcad,1.33124,0,1.32595,2017.03.30 16:18:09,1.33055,-0.7,0,0,5.19
50349103,2017.03.30 15:39:16,buy,0.1,gbpusd,1.24577,0,0,2017.03.30 16:05:54,1.24707,-0.7,0,0,13
50349105,2017.03.30 15:40:15,sell,0.1,usdcad,1.33126,0,0,2017.03.30 16:18:14,1.33059,-0.7,0,0,5.04
50349121,2017.03.30 15:59:58,sell,0.1,usdcad,1.33167,0,1.32586,2017.03.30 16:17:53,1.33054,-0.7,0,0,8.49
50349128,2017.03.30 16:16:04,buy,0.1,usdjpy,111.503,0,0,2017.03.30 16:40:15,111.133,-0.7,0,0,-33.29
50349130,2017.03.30 16:23:48,buy,0.1,usdjpy,111.456,0,0,2017.03.30 16:40:05,111.13,-0.7,0,0,-29.34
50349132,2017.03.30 16:26:18,buy,0.1,eurusd,1.07223,1.0724,0,2017.03.30 18:41:19,1.0724,-0.7,0,0,1.7
50349139,2017.03.30 16:29:18,buy,0.1,eurusd,1.07386,1.07235,0,2017.03.30 18:56:43,1.07235,-0.7,0,0,-15.1
50349145,2017.03.30 16:30:57,buy,0.1,eurusd,1.0741,1.07237,0,2017.03.30 18:56:36,1.07237,-0.7,0,0,-17.3
50349147,2017.03.30 16:33:11,buy,0.1,usdjpy,111.211,0,0,2017.03.30 16:38:30,111.099,-0.7,0,0,-10.08
50349153,2017.03.30 16:33:39,buy,0.1,eurusd,1.07443,1.07249,0,2017.03.30 18:34:36,1.07249,-0.7,0,0,-19.4
50349159,2017.03.30 16:34:39,buy,0.1,eurusd,1.0747,1.0718,0,2017.03.30 19:54:05,1.0718,-0.7,0,0,-29
50349161,2017.03.30 16:34:51,buy,0.1,eurusd,1.07464,0,0,2017.03.30 23:28:14,1.06819,-0.7,0,0,-64.5
50349163,2017.03.30 16:37:10,buy,0.1,eurusd,1.07486,1.0718,0,2017.03.30 19:54:05,1.0718,-0.7,0,0,-30.6
50349175,2017.03.30 16:44:01,sell,0.1,usdjpy,111.171,0,0,2017.03.30 17:09:19,111.285,-0.7,0,0,-10.24
50349181,2017.03.30 16:44:52,buy,0.1,eurusd,1.0742,1.0718,0,2017.03.30 19:54:05,1.0718,-0.7,0,0,-24
50349187,2017.03.30 16:49:14,buy,0.1,eurusd,1.07392,1.07177,0,2017.03.30 19:54:05,1.07177,-0.7,0,0,-21.5
50349196,2017.03.30 16:56:53,buy,0.1,eurusd,1.07336,1.07181,0,2017.03.30 19:54:05,1.07181,-0.7,0,0,-15.5
50349200,2017.03.30 16:57:12,buy,0.1,eurusd,1.07336,1.0723,0,2017.03.30 19:11:24,1.0723,-0.7,0,0,-10.6
50349208,2017.03.30 17:09:47,buy,0.1,eurusd,1.0737,1.07231,0,2017.03.30 19:11:24,1.07231,-0.7,0,0,-13.9
50349251,2017.03.30 18:46:29,buy,0.1,eurusd,1.07283,0,0,2017.03.30 23:28:13,1.06819,-0.7,0,0,-46.4
50349253,2017.03.30 18:47:00,buy,0.1,eurusd,1.07292,0,0,2017.03.30 23:28:12,1.06819,-0.7,0,0,-47.3
50349272,2017.03.30 19:02:02,buy,0.1,eurusd,1.07276,0,0,2017.03.30 23:28:11,1.06818,-0.7,0,0,-45.8
50349274,2017.03.30 19:02:25,buy,0.1,eurusd,1.07269,0,0,2017.03.30 20:15:17,1.06924,-0.7,0,0,-34.5
50349461,2017.03.31 12:52:59,sell,0.1,usdcad,1.33552,0,0,2017.03.31 14:19:24,1.33474,-0.7,0,0,5.84
50349464,2017.03.31 13:02:54,sell,0.1,usdcad,1.33638,0,0,2017.03.31 14:17:45,1.33496,-0.7,0,0,10.64
50349494,2017.03.31 15:17:29,buy,0.1,gbpusd,1.24928,0,0,2017.03.31 17:58:11,1.25001,-0.7,0,0,7.3
50349499,2017.03.31 15:33:58,buy,0.1,gbpusd,1.24775,0,0,2017.03.31 17:50:45,1.24862,-0.7,0,0,8.7
50349504,2017.03.31 15:58:06,buy,0.1,gbpusd,1.24631,0,0,2017.03.31 17:50:19,1.24825,-0.7,0,0,19.4
50349509,2017.03.31 16:16:35,buy,0.1,gbpusd,1.24662,0,0,2017.03.31 17:50:31,1.24836,-0.7,0,0,17.4
50349731,2017.04.03 13:45:19,buy,0.1,gbpusd,1.24947,1.24554,1.25547,2017.04.03 22:55:50,1.24766,-0.7,0,0,-18.1
50349758,2017.04.03 15:36:20,buy,0.1,gbpusd,1.24897,1.2455,1.25539,2017.04.03 22:55:46,1.24765,-0.7,0,0,-13.2
50349770,2017.04.03 16:06:46,sell,0.1,usdcad,1.33627,0,0,2017.04.03 18:02:00,1.33919,-0.7,0,0,-21.8
50349773,2017.04.03 16:18:24,buy,0.1,gbpusd,1.24857,1.24533,1.25556,2017.04.03 22:55:30,1.24767,-0.7,0,0,-9
50349775,2017.04.03 16:18:33,sell,0.1,usdcad,1.33772,0,0,2017.04.03 17:13:20,1.33865,-0.7,0,0,-6.95
50349777,2017.04.03 16:19:06,buy,0.1,gbpusd,1.24847,1.24532,0,2017.04.03 22:55:28,1.24767,-0.7,0,0,-8
50349785,2017.04.03 16:42:51,sell,0.1,usdcad,1.33824,0,0,2017.04.03 17:09:46,1.33875,-0.7,0,0,-3.81
50349787,2017.04.03 16:46:54,sell,0.1,usdcad,1.33896,0,0,2017.04.03 17:09:41,1.33875,-0.7,0,0,1.57
50349799,2017.04.03 17:13:13,buy,0.1,gbpusd,1.25085,1.24532,0,2017.04.03 22:55:33,1.24767,-0.7,0,0,-31.8
50349801,2017.04.03 17:17:54,buy,0.1,gbpusd,1.25058,1.24537,0,2017.04.03 22:55:35,1.24766,-0.7,0,0,-29.2
50349811,2017.04.03 17:56:49,buy,0.1,gbpusd,1.24769,1.24544,0,2017.04.03 22:55:38,1.24767,-0.7,0,0,-0.2
50349813,2017.04.03 17:56:55,buy,0.1,gbpusd,1.24785,1.24549,0,2017.04.03 22:55:40,1.24767,-0.7,0,0,-1.8
50349815,2017.04.03 17:57:00,buy,0.1,gbpusd,1.24798,1.2454,0,2017.04.03 22:55:43,1.24765,-0.7,0,0,-3.3
50349817,2017.04.03 17:59:09,buy,0.1,eurusd,1.06525,0,0,2017.04.03 18:02:21,1.0643,-0.7,0,0,-9.5
50349821,2017.04.03 18:02:26,buy,0.1,gbpusd,1.24766,1.24549,0,2017.04.03 22:55:48,1.24765,-0.7,0,0,-0.1
50349986,2017.04.04 11:57:25,sell,0.1,usdcad,1.34368,0,0,2017.04.04 13:19:09,1.34243,-0.7,0,0,9.31
50349988,2017.04.04 11:57:40,buy,0.1,gbpusd,1.24386,0,0,2017.04.04 12:47:13,1.24541,-0.7,0,0,15.5
50349992,2017.04.04 12:04:46,sell,0.1,usdcad,1.34407,0,0,2017.04.04 13:18:59,1.34226,-0.7,0,0,13.48
50350033,2017.04.04 14:06:03,buy,0.1,gbpusd,1.2442,0,0,2017.04.04 16:28:01,1.24581,-0.7,0,0,16.1
50350037,2017.04.04 14:08:40,buy,0.1,gbpusd,1.24372,0,0,2017.04.04 16:27:56,1.24586,-0.7,0,0,21.4
50350039,2017.04.04 14:10:11,sell,0.1,eurgbp,0.85617,0,0,2017.04.04 16:21:29,0.85582,-0.7,0,0,4.36
50350048,2017.04.04 14:50:15,sell,0.1,eurgbp,0.85654,0,0,2017.04.04 16:20:53,0.85587,-0.7,0,0,8.35
50350051,2017.04.04 15:54:48,buy,0.1,gbpusd,1.24316,0,0,2017.04.04 16:27:53,1.24586,-0.7,0,0,27
50350053,2017.04.04 15:54:59,sell,0.1,eurgbp,0.85694,0,0,2017.04.04 16:20:46,0.85601,-0.7,0,0,11.57
50350058,2017.04.04 16:10:42,buy,0.1,gbpusd,1.24345,0,0,2017.04.04 16:27:58,1.24586,-0.7,0,0,24.1
50350060,2017.04.04 16:10:51,buy,0.1,eurusd,1.06565,0,0,2017.04.04 18:00:03,1.06634,-0.7,0,0,6.9
50350066,2017.04.04 16:17:49,buy,0.1,eurusd,1.06528,0,0,2017.04.04 17:59:50,1.06637,-0.7,0,0,10.9
50350068,2017.04.04 16:18:18,buy,0.1,gbpusd,1.24436,0,0,2017.04.04 16:28:04,1.24574,-0.7,0,0,13.8
50350072,2017.04.04 16:21:18,buy,0.1,eurusd,1.06536,0,0,2017.04.04 17:59:47,1.06636,-0.7,0,0,10
50350092,2017.04.04 16:55:45,buy,0.1,gbpusd,1.24501,0,0,2017.04.04 17:38:01,1.2459,-0.7,0,0,8.9
50350094,2017.04.04 16:55:56,buy,0.1,gbpusd,1.24501,0,0,2017.04.04 17:37:57,1.24593,-0.7,0,0,9.2
50350100,2017.04.04 17:02:22,buy,0.1,gbpusd,1.2447,0,0,2017.04.04 17:37:41,1.2459,-0.7,0,0,12
50350108,2017.04.04 17:37:18,buy,0.1,eurusd,1.0656,0,0,2017.04.04 18:00:06,1.06634,-0.7,0,0,7.4
50350110,2017.04.04 17:44:31,buy,0.1,eurusd,1.06586,0,0,2017.04.04 18:00:22,1.0664,-0.7,0,0,5.4
50350112,2017.04.04 17:45:03,buy,0.1,eurusd,1.06572,0,0,2017.04.04 18:00:17,1.06643,-0.7,0,0,7.1
50350114,2017.04.04 17:45:56,buy,0.1,eurusd,1.06556,0,0,2017.04.04 18:00:10,1.06622,-0.7,0,0,6.6
50350116,2017.04.04 17:46:50,buy,0.1,eurusd,1.06549,0,0,2017.04.04 18:00:12,1.0664,-0.7,0,0,9.1
50350121,2017.04.04 17:56:39,buy,0.1,gbpusd,1.24471,0,0,2017.04.04 18:03:47,1.24543,-0.7,0,0,7.2
50350123,2017.04.04 17:57:27,buy,0.1,gbpusd,1.24465,0,0,2017.04.04 18:03:45,1.24548,-0.7,0,0,8.3
50350125,2017.04.04 17:58:59,buy,0.1,gbpusd,1.24462,0,0,2017.04.04 18:03:43,1.24547,-0.7,0,0,8.5
50350205,2017.04.05 09:41:52,buy,0.1,gbpusd,1.24338,0,0,2017.04.05 11:30:05,1.24633,-0.7,0,0,29.5
50350211,2017.04.05 09:59:04,buy,0.1,gbpusd,1.24341,0,0,2017.04.05 11:30:07,1.24632,-0.7,0,0,29.1
50350213,2017.04.05 10:07:53,sell,0.1,eurgbp,0.85866,0,0,2017.04.05 10:58:08,0.85812,-0.7,0,0,6.71
50350219,2017.04.05 10:16:17,buy,0.1,gbpusd,1.24438,0,0,2017.04.05 11:30:10,1.24623,-0.7,0,0,18.5
50350221,2017.04.05 10:16:34,buy,0.1,gbpusd,1.24436,0,0,2017.04.05 11:30:12,1.24619,-0.7,0,0,18.3
50350225,2017.04.05 10:18:04,buy,0.1,gbpusd,1.24424,0,0,2017.04.05 11:30:15,1.24613,-0.7,0,0,18.9
50350232,2017.04.05 10:34:15,buy,0.1,gbpusd,1.24425,0,0,2017.04.05 11:30:20,1.24622,-0.7,0,0,19.7
50350239,2017.04.05 10:58:18,buy,0.1,eurusd,1.06766,0,0,2017.04.05 11:31:42,1.06793,-0.7,0,0,2.7
50350243,2017.04.05 11:20:47,buy,0.1,eurusd,1.06734,0,0,2017.04.05 11:31:03,1.06791,-0.7,0,0,5.7
50350245,2017.04.05 11:25:25,buy,0.1,gbpusd,1.24387,0,0,2017.04.05 11:30:17,1.2462,-0.7,0,0,23.3
50350330,2017.04.05 16:23:17,sell,0.1,usdcad,1.34021,0,0,2017.04.05 17:02:44,1.33912,-0.7,0,0,8.14
50350340,2017.04.05 16:37:16,sell,0.1,usdjpy,111.295,0,0,2017.04.05 17:10:30,111.242,-0.7,0,0,4.76
50350342,2017.04.05 16:37:24,sell,0.1,usdjpy,111.28,0,0,2017.04.05 17:10:28,111.243,-0.7,0,0,3.33
50350344,2017.04.05 16:38:18,sell,0.1,usdjpy,111.281,0,0,2017.04.05 17:10:24,111.235,-0.7,0,0,4.14
50350346,2017.04.05 16:40:47,sell,0.1,usdjpy,111.335,0,0,2017.04.05 17:10:21,111.243,-0.7,0,0,8.27
50350350,2017.04.05 16:45:35,sell,0.1,usdjpy,111.37,0,0,2017.04.05 17:09:59,111.259,-0.7,0,0,9.98
50350354,2017.04.05 16:49:31,sell,0.1,usdjpy,111.43,0,0,2017.04.05 17:09:50,111.261,-0.7,0,0,15.19
50350356,2017.04.05 16:49:48,sell,0.1,usdjpy,111.425,0,0,2017.04.05 17:09:54,111.258,-0.7,0,0,15.01
50350358,2017.04.05 17:00:13,sell,0.1,usdjpy,111.275,0,0,2017.04.05 17:10:10,111.26,-0.7,0,0,1.35
50350365,2017.04.05 17:02:30,sell,0.1,usdjpy,111.274,0,0,2017.04.05 17:10:15,111.251,-0.7,0,0,2.07
50350367,2017.04.05 17:03:09,sell,0.1,usdjpy,111.288,0,0,2017.04.05 17:10:05,111.257,-0.7,0,0,2.79
50350383,2017.04.05 17:46:57,sell,0.1,usdcad,1.34109,0,0,2017.04.05 21:35:56,1.34099,-0.7,0,0,0.75
50350385,2017.04.05 17:47:07,sell,0.1,usdcad,1.34118,0,0,2017.04.05 21:35:53,1.341,-0.7,0,0,1.34
50350387,2017.04.05 17:47:17,sell,0.1,usdcad,1.34116,0,0,2017.04.05 21:35:47,1.341,-0.7,0,0,1.19
50350389,2017.04.05 17:48:19,sell,0.1,usdcad,1.34152,0,0,2017.04.05 21:35:42,1.34093,-0.7,0,0,4.4
50350391,2017.04.05 17:50:20,sell,0.1,usdcad,1.3417,0,0,2017.04.05 21:35:37,1.34091,-0.7,0,0,5.89
50350393,2017.04.05 17:51:15,sell,0.1,usdcad,1.34188,0,0,2017.04.05 21:35:32,1.34102,-0.7,0,0,6.41
50350395,2017.04.05 17:51:39,sell,0.1,usdcad,1.34201,0,0,2017.04.05 21:35:25,1.34097,-0.7,0,0,7.76
50350401,2017.04.05 18:09:51,sell,0.1,usdcad,1.34225,0,0,2017.04.05 21:35:13,1.34098,-0.7,0,0,9.47
50350432,2017.04.05 20:23:52,sell,0.1,usdcad,1.34253,0,0,2017.04.05 21:35:09,1.341,-0.7,0,0,11.41
50350544,2017.04.06 11:31:15,sell,0.1,usdjpy,110.65,110.922,0,2017.04.06 16:00:47,110.82,-0.7,0,0,-15.34
50350546,2017.04.06 11:32:09,sell,0.1,usdjpy,110.689,111.009,0,2017.04.06 16:00:45,110.821,-0.7,0,0,-11.91
50350548,2017.04.06 11:34:22,sell,0.1,usdcad,1.34483,0,0,2017.04.06 12:49:46,1.34382,-0.7,0,0,7.52
50350568,2017.04.06 12:06:41,sell,0.1,usdjpy,110.812,110.962,0,2017.04.06 16:00:49,110.824,-0.7,0,0,-1.08
50350570,2017.04.06 12:07:07,sell,0.1,usdjpy,110.812,110.994,0,2017.04.06 16:00:43,110.821,-0.7,0,0,-0.81
50350606,2017.04.06 13:23:05,buy,0.1,gbpusd,1.24774,0,0,2017.04.06 15:29:09,1.24608,-0.7,0,0,-16.6
50350608,2017.04.06 13:24:21,buy,0.1,gbpusd,1.24763,0,0,2017.04.06 15:28:20,1.24595,-0.7,0,0,-16.8
50350611,2017.04.06 13:27:42,buy,0.1,gbpusd,1.24716,0,0,2017.04.06 15:28:45,1.24607,-0.7,0,0,-10.9
50350613,2017.04.06 13:40:58,buy,0.1,gbpusd,1.24645,0,0,2017.04.06 15:25:41,1.2462,-0.7,0,0,-2.5
50350615,2017.04.06 13:42:07,buy,0.1,gbpusd,1.24534,0,0,2017.04.06 14:37:09,1.24596,-0.7,0,0,6.2
50350628,2017.04.06 14:36:21,sell,0.1,usdjpy,110.965,111.015,0,2017.04.06 15:59:23,110.813,-0.7,0,0,13.72
50350630,2017.04.06 14:36:26,sell,0.1,usdjpy,110.963,111.017,0,2017.04.06 15:59:12,110.815,-0.7,0,0,13.36
50350632,2017.04.06 14:36:31,sell,0.1,usdjpy,110.97,111.018,0,2017.04.06 15:58:42,110.814,-0.7,0,0,14.08
50350634,2017.04.06 14:37:15,sell,0.1,usdjpy,110.96,110.928,0,2017.04.06 15:58:32,110.821,-0.7,0,0,12.54
50350636,2017.04.06 14:37:23,sell,0.1,usdjpy,110.957,111.019,0,2017.04.06 15:59:18,110.814,-0.7,0,0,12.9
50350648,2017.04.06 15:25:49,sell,0.1,usdjpy,110.877,111.019,0,2017.04.06 15:59:35,110.815,-0.7,0,0,5.59
50350650,2017.04.06 15:28:26,sell,0.1,usdjpy,110.925,111.015,0,2017.04.06 15:59:31,110.813,-0.7,0,0,10.11
50350652,2017.04.06 15:28:32,sell,0.1,usdjpy,110.931,111.023,0,2017.04.06 15:59:05,110.819,-0.7,0,0,10.11
50350654,2017.04.06 15:28:51,sell,0.1,usdjpy,110.948,111.021,0,2017.04.06 15:58:53,110.815,-0.7,0,0,12
50350656,2017.04.06 15:29:13,sell,0.1,usdjpy,110.935,111.016,0,2017.04.06 15:59:08,110.818,-0.7,0,0,10.56
50350673,2017.04.06 16:41:12,sell,0.1,usdjpy,110.826,0,0,2017.04.06 16:51:59,110.688,-0.7,0,0,12.47
50350675,2017.04.06 17:04:53,sell,0.1,usdjpy,110.809,0,0,2017.04.06 19:36:39,110.924,-0.7,0,0,-10.37
50350685,2017.04.06 17:11:14,sell,0.1,usdjpy,110.903,0,0,2017.04.06 19:36:37,110.929,-0.7,0,0,-2.34
50350694,2017.04.06 17:33:11,sell,0.1,usdjpy,110.924,0,0,2017.04.06 19:36:34,110.928,-0.7,0,0,-0.36
50350738,2017.04.06 18:29:12,sell,0.1,usdjpy,111.024,0,0,2017.04.06 19:36:32,110.924,-0.7,0,0,9.02
50350740,2017.04.06 18:29:24,sell,0.1,usdjpy,111.03,0,0,2017.04.06 19:36:29,110.924,-0.7,0,0,9.56
50350746,2017.04.06 18:38:24,sell,0.11,usdjpy,111.057,0,0,2017.04.06 19:36:24,110.922,-0.77,0,0,13.39
50350748,2017.04.06 18:44:06,sell,0.1,usdjpy,111.107,0,0,2017.04.06 19:36:21,110.921,-0.7,0,0,16.77
50350750,2017.04.06 18:44:16,sell,0.1,usdjpy,111.089,0,0,2017.04.06 19:36:27,110.923,-0.7,0,0,14.97
50350752,2017.04.06 18:44:24,sell,0.1,usdjpy,111.086,0,0,2017.04.06 19:36:19,110.917,-0.7,0,0,15.24
50350961,2017.04.07 15:30:34,sell,0.1,usdcad,1.33789,0,0,2017.04.07 15:41:13,1.33494,-0.7,0,0,22.1
50350967,2017.04.07 15:31:05,buy,0.1,eurusd,1.0657,0,1.06537,2017.04.07 18:24:47,1.06193,-0.7,0,0,-37.7
50350970,2017.04.07 15:31:14,buy,0.1,gbpusd,1.24382,0,0,2017.04.07 15:34:34,1.24451,-0.7,0,0,6.9
50350974,2017.04.07 15:32:05,sell,0.1,usdcad,1.33713,0,0,2017.04.07 15:41:16,1.33505,-0.7,0,0,15.58
50350978,2017.04.07 15:32:47,buy,0.1,eurusd,1.06444,0,0,2017.04.07 15:34:30,1.06558,-0.7,0,0,11.4
50350987,2017.04.07 15:38:02,buy,0.1,eurusd,1.06439,0,1.06536,2017.04.07 18:24:41,1.06193,-0.7,0,0,-24.6
50350990,2017.04.07 15:39:03,buy,0.1,eurusd,1.06383,0,0,2017.04.07 16:49:32,1.0626,-0.7,0,0,-12.3
50350995,2017.04.07 15:40:10,buy,0.1,gbpusd,1.24403,0,1.24266,2017.04.07 17:31:48,1.23955,-0.7,0,0,-44.8
50351001,2017.04.07 15:44:19,buy,0.1,gbpusd,1.24288,0,1.24268,2017.04.07 18:24:37,1.24103,-0.7,0,0,-18.5
50351017,2017.04.07 15:48:43,buy,0.1,gbpusd,1.24141,0,1.24276,2017.04.07 18:24:44,1.24107,-0.7,0,0,-3.4
